ticker,company_name,sector,debt_to_equity,current_ratio,altman_z_score,revenue,ebit,operating_cash_flow,market_cap,inflation_rate,currency_volatility,news_risk_score,bankrupt
STB1,Company_1,Energy,-0.21335980786504605,1.519871147726385,2.9439388652532577,37309456738,164370901,5684957191,82614697691,3.479306368303072,0.025602257109707198,0.3210467426184739,0
STB2,Company_2,Manufacturing,1.3597118057809188,2.0352624562961816,2.831033907849051,34481477724,2009728280,3648711833,31069542460,3.2899170927740786,0.010878717433905014,0.26732267978513125,0
STB3,Company_3,Retail,1.1895963172575024,1.615537272174807,4.003460841102944,5085632639,4435964885,4414919513,29474042112,5.394214415852451,0.0299711522189782,0.27596063039822777,0
STB4,Company_4,Manufacturing,0.24945112182508333,1.8998677321466788,3.746055595984513,7366634549,170409267,7813082785,11595484364,3.9015809163173047,0.01764681258092748,0.26933756275679244,0
STB5,Company_5,Manufacturing,1.3651140969485185,1.3857848927183243,1.2508686008529022,11490086863,1557007029,9820491624,1460336805,2.033587229748078,0.024677795462077098,0.21363178778538683,0
STB6,Company_6,Technology,0.9865594573647094,1.715758112541974,4.036229992820514,16043688352,555720763,9117448643,90536355205,5.033955577962288,0.02015064381578995,0.20123405016157545,0
STB7,Company_7,Retail,0.6067635247177223,1.7820548209014992,4.511109966354172,14003878944,2253017696,7307430644,56205205407,1.8905718458559717,0.006343352135163443,0.36989421914350373,0
STB8,Company_8,Retail,0.2206148790374588,2.0883521299255063,3.862244863701277,32954923135,376564547,7016256236,52224977980,2.026129082499436,0.025041068596905344,0.2822665666880719,0
STB9,Company_9,Retail,1.0830564133905205,2.338284252902576,2.8499728617206648,33812157830,4526938604,3470924308,64456972692,1.7272189509181297,0.01496762514334252,0.17330594663939636,0
STB10,Company_10,Manufacturing,0.4477732748117048,1.974206862519008,2.5175640526750285,11514360464,2747740598,1231329272,67190968437,1.5956324575830658,0.03045312793007611,0.2494743093546821,0
STB11,Company_11,Energy,0.11103034808875878,1.8892951345525042,3.5094831799161073,44629000306,3425298704,3243865800,90664097226,3.499759942259737,0.01764140191849323,0.19910454438427422,0
STB12,Company_12,Retail,0.6234416739964659,1.4915652688237386,2.566651447751528,22713871990,1895367899,3354668262,15763687906,2.6131467531846853,0.01923236090971668,0.38010754712796246,0
STB13,Company_13,Finance,0.5692671409129084,1.3744210610953327,3.249311881272566,22622764013,4641934902,9052848232,81972534035,-2.217253820454834,0.03682926464372936,0.10226030894022242,0
STB14,Company_14,Manufacturing,0.8333286392543122,1.8571010954895502,2.9846833879628645,23263178348,4413847908,8191402512,63332788712,2.597605407075731,0.04381636794507951,0.1675998393137585,0
STB15,Company_15,Technology,0.7118571690371207,1.8407261488429458,3.8526353064295575,12521245365,2999186440,2190042429,72207694605,2.223131616291549,0.027860339557120826,0.20960704590221732,0
STB16,Company_16,Energy,1.4004463859747642,1.9824268986002884,2.7273793829875626,32875490842,754293433,1394602581,62581781150,4.339238046448283,0.017128599025766147,0.2463429402426214,0
STB17,Company_17,Finance,1.1491994706658613,2.011494393399816,2.6900383585660506,46463361505,4976859264,3866243002,3195341428,2.155112082809455,0.01625338671643856,0.35524525535084395,0
STB18,Company_18,Finance,0.7141855823867908,1.9082770132773406,3.2647586303185965,19438679069,1084785057,3908585960,93203924085,6.808886686816338,0.0118132301468142,0.12636628736204317,0
STB19,Company_19,Technology,0.3464067099263028,1.3599096344461423,4.353687860649683,2577783323,2845526119,9002007883,12960378767,5.0951903681553645,0.013747618164464435,0.3417594660223431,0
STB20,Company_20,Energy,1.3943128632153057,2.067788841451849,3.056679564161197,938562244,1212306932,1391441606,95184471224,2.4151344134853328,0.017263902564960316,0.11669604680709261,0
STB21,Company_21,Manufacturing,1.1927660622491225,1.7684228597996463,2.7084805455140373,13089338146,4111115151,7028687470,44656400651,4.7244346182496235,0.039642529669948995,0.3526942105894545,0
STB22,Company_22,Automotive,2.128005045636021,1.5133960665846886,3.6002522761116786,23164655970,3179243110,1279330658,43236691935,3.787817569036421,0.018027783291464764,0.11549064336235386,0
STB23,Company_23,Energy,0.9317430201151051,1.6755706096783602,3.5026897958772976,47411025896,2637320597,3251423971,68748163271,3.350198694720364,0.007739469958018974,0.10547274442850832,0
STB24,Company_24,Technology,1.620885558007038,1.3803777355182427,2.333969774546372,21266967063,1812168566,3419806102,23931867339,4.203978383411144,0.020416652671253827,0.3090884387099265,0
STB25,Company_25,Finance,1.0304081500743187,1.6967758376066044,2.6246879298746846,14249550270,1073996491,9001661804,87590689031,3.0811063113907293,0.021781284257610646,0.39917666043051836,0
STB26,Company_26,Manufacturing,0.8429617358154073,2.0252357656768263,3.7675701995464177,1461169663,3264924260,2143519017,15376471385,3.3605267341162164,0.02035635459850456,0.3689830788922063,0
STB27,Company_27,Energy,0.04502135889169567,1.7017124450165992,3.299608988692599,9417900415,4366786872,4562180262,32082407353,4.235028774418448,0.027996912225852075,0.27279952534169805,0
STB28,Company_28,Automotive,1.1607512311793229,1.5415205837255015,1.271210794452682,6786410520,508528205,6675175902,21864863016,6.078679112618235,0.020690055113590334,0.3752186839256595,0
STB29,Company_29,Automotive,0.37829003832035774,1.7225445604390983,3.337385397302026,42775459806,4502547140,6211326340,17620644799,3.3767924583295112,0.027687274921473288,0.10159000191928164,0
STB30,Company_30,Retail,0.543337297301417,1.9382866846260882,3.6485194510342254,24564261689,184928880,1527168490,36189149344,2.319305002541766,0.01219656645942285,0.3925201488835428,0
STB31,Company_31,Retail,0.7782315987632511,1.3951830080300973,2.41369302576582,11138328679,2046561099,9112733585,89894568915,-0.04384628264098289,0.03780729438145223,0.24722463377763537,0
STB32,Company_32,Technology,0.6623495448768036,1.494278164389579,3.4740302459074694,7036403231,4725161817,9224079179,54980505563,5.9419552079454565,0.02252479788343585,0.31686882898653274,0
STB33,Company_33,Energy,0.018466602706743607,1.8381036718115396,4.310623382124504,26471460033,2043545766,3290663241,65622943900,2.6051374311420603,0.02400218970407038,0.3462584419460058,0
STB34,Company_34,Energy,0.40218450393149346,1.425166883160022,3.277461758045109,42522994305,1721564822,6970193643,55952010029,3.8022139351219004,0.012154881061866976,0.31553718125096614,0
STB35,Company_35,Finance,1.265292200385551,2.383534684346036,2.5620685933369476,41936282640,4499546529,454318588,12622705148,5.858860855390491,0.02471826991266396,0.2605110196134732,0
